AAPL,,,MSFT,,,NVDA,,,HD,,,COST,
Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close
1/10/2025 16:00,236.85,,1/10/2025 16:00,418.95,,1/10/2025 16:00,135.91,,1/10/2025 16:00,389.89,,1/10/2025 16:00,936.94
1/17/2025 16:00,229.98,,1/17/2025 16:00,429.03,,1/17/2025 16:00,137.71,,1/17/2025 16:00,409.38,,1/17/2025 16:00,943.19
1/24/2025 16:00,222.78,,1/24/2025 16:00,444.06,,1/24/2025 16:00,142.62,,1/24/2025 16:00,414.5,,1/24/2025 16:00,939.68
1/31/2025 16:00,236,,1/31/2025 16:00,415.06,,1/31/2025 16:00,120.07,,1/31/2025 16:00,411.98,,1/31/2025 16:00,979.88
2/7/2025 16:00,227.63,,2/7/2025 16:00,409.75,,2/7/2025 16:00,129.84,,2/7/2025 16:00,407.37,,2/7/2025 16:00,1043.81
2/14/2025 16:00,244.6,,2/14/2025 16:00,408.43,,2/14/2025 16:00,138.85,,2/14/2025 16:00,409.5,,2/14/2025 16:00,1071.85
2/21/2025 16:00,245.55,,2/21/2025 16:00,408.21,,2/21/2025 16:00,134.43,,2/21/2025 16:00,385.3,,2/21/2025 16:00,1035.03
2/28/2025 16:00,241.84,,2/28/2025 16:00,396.99,,2/28/2025 16:00,124.92,,2/28/2025 16:00,396.6,,2/28/2025 16:00,1048.61
3/7/2025 16:00,239.07,,3/7/2025 16:00,393.31,,3/7/2025 16:00,112.69,,3/7/2025 16:00,376.8,,3/7/2025 16:00,964.31
3/14/2025 16:00,213.49,,3/14/2025 16:00,388.56,,3/14/2025 16:00,121.67,,3/14/2025 16:00,351.31,,3/14/2025 16:00,903.92
3/21/2025 16:00,218.27,,3/21/2025 16:00,391.26,,3/21/2025 16:00,117.7,,3/21/2025 16:00,351.15,,3/21/2025 16:00,909.26
3/28/2025 16:00,217.9,,3/28/2025 16:00,378.8,,3/28/2025 16:00,109.67,,3/28/2025 16:00,358.15,,3/28/2025 16:00,929.66
4/4/2025 16:00,188.38,,4/4/2025 16:00,359.84,,4/4/2025 16:00,94.31,,4/4/2025 16:00,353.9,,4/4/2025 16:00,916.48
4/11/2025 16:00,198.15,,4/11/2025 16:00,388.45,,4/11/2025 16:00,110.93,,4/11/2025 16:00,353.86,,4/11/2025 16:00,963.41
4/17/2025 16:00,196.98,,4/17/2025 16:00,367.78,,4/17/2025 16:00,101.49,,4/17/2025 16:00,355.06,,4/17/2025 16:00,994.5
4/25/2025 16:00,209.28,,4/25/2025 16:00,391.85,,4/25/2025 16:00,111.01,,4/25/2025 16:00,357.58,,4/25/2025 16:00,977.16
5/2/2025 16:00,205.35,,5/2/2025 16:00,435.28,,5/2/2025 16:00,114.5,,5/2/2025 16:00,364.52,,5/2/2025 16:00,1008.3
