AAPL,,,MSFT,,,NVDA,,,HD,,,COST,,,XOM,
Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close
1/7/2022 16:00:00,172.17,,1/7/2022 16:00:00,314.04,,1/7/2022 16:00:00,27.25,,1/7/2022 16:00:00,393.61,,1/7/2022 16:00:00,536.18,,1/7/2022 16:00:00,68.88
1/14/2022 16:00:00,173.07,,1/14/2022 16:00:00,310.2,,1/14/2022 16:00:00,26.94,,1/14/2022 16:00:00,372,,1/14/2022 16:00:00,502.99,,1/14/2022 16:00:00,71.87
1/21/2022 16:00:00,162.41,,1/21/2022 16:00:00,296.03,,1/21/2022 16:00:00,23.37,,1/21/2022 16:00:00,349.1,,1/21/2022 16:00:00,481.61,,1/21/2022 16:00:00,72.17
1/28/2022 16:00:00,170.33,,1/28/2022 16:00:00,308.26,,1/28/2022 16:00:00,22.84,,1/28/2022 16:00:00,366.54,,1/28/2022 16:00:00,492.43,,1/28/2022 16:00:00,75.28
2/4/2022 16:00:00,172.39,,2/4/2022 16:00:00,305.94,,2/4/2022 16:00:00,24.32,,2/4/2022 16:00:00,359.67,,2/4/2022 16:00:00,519.77,,2/4/2022 16:00:00,81.41
2/11/2022 16:00:00,168.64,,2/11/2022 16:00:00,295.04,,2/11/2022 16:00:00,23.95,,2/11/2022 16:00:00,350.29,,2/11/2022 16:00:00,509.67,,2/11/2022 16:00:00,80.21
2/18/2022 16:00:00,167.3,,2/18/2022 16:00:00,287.93,,2/18/2022 16:00:00,23.64,,2/18/2022 16:00:00,346.87,,2/18/2022 16:00:00,512.67,,2/18/2022 16:00:00,77.36
2/25/2022 16:00:00,164.85,,2/25/2022 16:00:00,297.31,,2/25/2022 16:00:00,24.16,,2/25/2022 16:00:00,316.65,,2/25/2022 16:00:00,517.49,,2/25/2022 16:00:00,77.84
3/4/2022 16:00:00,163.17,,3/4/2022 16:00:00,289.86,,3/4/2022 16:00:00,22.94,,3/4/2022 16:00:00,324.26,,3/4/2022 16:00:00,525.5,,3/4/2022 16:00:00,84.09
3/11/2022 16:00:00,154.73,,3/11/2022 16:00:00,280.07,,3/11/2022 16:00:00,22.1,,3/11/2022 16:00:00,316.79,,3/11/2022 16:00:00,527.42,,3/11/2022 16:00:00,84.92
3/18/2022 16:00:00,163.98,,3/18/2022 16:00:00,300.43,,3/18/2022 16:00:00,26.45,,3/18/2022 16:00:00,340.74,,3/18/2022 16:00:00,561.35,,3/18/2022 16:00:00,78.67
3/25/2022 16:00:00,174.72,,3/25/2022 16:00:00,303.68,,3/25/2022 16:00:00,27.69,,3/25/2022 16:00:00,310.68,,3/25/2022 16:00:00,555.71,,3/25/2022 16:00:00,85.2
4/1/2022 16:00:00,174.31,,4/1/2022 16:00:00,309.42,,4/1/2022 16:00:00,26.71,,4/1/2022 16:00:00,301.89,,4/1/2022 16:00:00,575.57,,4/1/2022 16:00:00,83.12
4/8/2022 16:00:00,170.09,,4/8/2022 16:00:00,296.97,,4/8/2022 16:00:00,23.12,,4/8/2022 16:00:00,311.11,,4/8/2022 16:00:00,600.04,,4/8/2022 16:00:00,86.84
