AAPL,,,MSFT,,,NVDA,,,HD,,,COST,,,XOM,
Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close
1/5/2024 16:00:00,181.18,,1/5/2024 16:00:00,367.75,,1/5/2024 16:00:00,49.1,,1/5/2024 16:00:00,342.94,,1/5/2024 16:00:00,656.01,,1/5/2024 16:00:00,102.63
1/12/2024 16:00:00,185.92,,1/12/2024 16:00:00,388.47,,1/12/2024 16:00:00,54.71,,1/12/2024 16:00:00,355.71,,1/12/2024 16:00:00,683.24,,1/12/2024 16:00:00,99.95
1/19/2024 16:00:00,191.56,,1/19/2024 16:00:00,398.67,,1/19/2024 16:00:00,59.49,,1/19/2024 16:00:00,362.41,,1/19/2024 16:00:00,694.97,,1/19/2024 16:00:00,96.95
1/26/2024 16:00:00,192.42,,1/26/2024 16:00:00,403.93,,1/26/2024 16:00:00,61.03,,1/26/2024 16:00:00,355.3,,1/26/2024 16:00:00,686.88,,1/26/2024 16:00:00,103
2/2/2024 16:00:00,185.85,,2/2/2024 16:00:00,411.22,,2/2/2024 16:00:00,66.16,,2/2/2024 16:00:00,357.23,,2/2/2024 16:00:00,709.48,,2/2/2024 16:00:00,101.97
2/9/2024 16:00:00,188.85,,2/9/2024 16:00:00,420.55,,2/9/2024 16:00:00,72.13,,2/9/2024 16:00:00,363.15,,2/9/2024 16:00:00,723.4,,2/9/2024 16:00:00,101.77
2/16/2024 16:00:00,182.31,,2/16/2024 16:00:00,404.06,,2/16/2024 16:00:00,72.61,,2/16/2024 16:00:00,362.35,,2/16/2024 16:00:00,723.99,,2/16/2024 16:00:00,103.73
2/23/2024 16:00:00,182.52,,2/23/2024 16:00:00,410.34,,2/23/2024 16:00:00,78.82,,2/23/2024 16:00:00,371.96,,2/23/2024 16:00:00,737.93,,2/23/2024 16:00:00,103.84
3/1/2024 16:00:00,179.66,,3/1/2024 16:00:00,415.5,,3/1/2024 16:00:00,82.28,,3/1/2024 16:00:00,384.45,,3/1/2024 16:00:00,749.44,,3/1/2024 16:00:00,105.84
3/8/2024 16:00:00,170.73,,3/8/2024 16:00:00,406.22,,3/8/2024 16:00:00,87.53,,3/8/2024 16:00:00,373.35,,3/8/2024 16:00:00,725.56,,3/8/2024 16:00:00,108.38
3/15/2024 16:00:00,172.62,,3/15/2024 16:00:00,416.42,,3/15/2024 16:00:00,87.84,,3/15/2024 16:00:00,373.23,,3/15/2024 16:00:00,725.63,,3/15/2024 16:00:00,111.27
3/22/2024 16:00:00,172.28,,3/22/2024 16:00:00,428.74,,3/22/2024 16:00:00,94.29,,3/22/2024 16:00:00,390.28,,3/22/2024 16:00:00,734.8,,3/22/2024 16:00:00,113.49
3/28/2024 16:00:00,171.48,,3/28/2024 16:00:00,420.72,,3/28/2024 16:00:00,90.36,,3/28/2024 16:00:00,383.6,,3/28/2024 16:00:00,732.63,,3/28/2024 16:00:00,116.24
4/5/2024 16:00:00,169.58,,4/5/2024 16:00:00,425.52,,4/5/2024 16:00:00,88.01,,4/5/2024 16:00:00,357.87,,4/5/2024 16:00:00,713.72,,4/5/2024 16:00:00,121.37
4/12/2024 16:00:00,176.55,,4/12/2024 16:00:00,421.9,,4/12/2024 16:00:00,88.19,,4/12/2024 16:00:00,342.87,,4/12/2024 16:00:00,731.31,,4/12/2024 16:00:00,120.37
4/19/2024 16:00:00,165,,4/19/2024 16:00:00,399.12,,4/19/2024 16:00:00,76.2,,4/19/2024 16:00:00,335.36,,4/19/2024 16:00:00,709.51,,4/19/2024 16:00:00,119.88
4/26/2024 16:00:00,169.3,,4/26/2024 16:00:00,406.32,,4/26/2024 16:00:00,87.74,,4/26/2024 16:00:00,335.09,,4/26/2024 16:00:00,729.18,,4/26/2024 16:00:00,117.96
5/3/2024 16:00:00,183.38,,5/3/2024 16:00:00,406.66,,5/3/2024 16:00:00,88.79,,5/3/2024 16:00:00,342.85,,5/3/2024 16:00:00,743.9,,5/3/2024 16:00:00,116
5/10/2024 16:00:00,183.05,,5/10/2024 16:00:00,414.74,,5/10/2024 16:00:00,89.88,,5/10/2024 16:00:00,346.43,,5/10/2024 16:00:00,787.19,,5/10/2024 16:00:00,117.96
5/17/2024 16:00:00,189.87,,5/17/2024 16:00:00,420.21,,5/17/2024 16:00:00,92.48,,5/17/2024 16:00:00,344.21,,5/17/2024 16:00:00,795.81,,5/17/2024 16:00:00,119.64
